Title,Name,Address,Country,Gender,Age,Buy_for,Favourites,Time,Date,Username
MR,BORIS115644,35086890-Boris Road-Doris Town,OuterMongolia,M,71+,Myself,Horror,05:36:05,23/02/2000,user_4956127
MISS,DORIS66238,84969957-Boris Road-Doris Town,USA,F,31-40,Other,Adventure,23:27:05,27/02/2000,user_4045964
MISS,DORIS117490,87940103-Boris Road-Doris Town,OuterMongolia,F,21-30,Other,Sci-Fi,19:47:24,17/02/2000,user_2022647
MISS,DORIS83649,41955061-Boris Road-Doris Town,UK,F,71+,Myself,Sci-Fi,08:06:27,26/02/2000,user_4421294
MR,BORIS71559,35922469-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,00:37:37,20/02/2000,user_479975
MR,BORIS96309,21419820-Boris Road-Doris Town,USA,M,31-40,Family,Adventure,22:24:13,26/02/2000,user_3360241
MR,BORIS133208,77434984-Boris Road-Doris Town,OuterMongolia,M,31-40,Family,Drama,18:06:30,27/02/2000,user_4492689
MR,BORIS32605,15984285-Boris Road-Doris Town,USA,M,21-30,Friends,Horror,06:51:18,23/02/2000,user_3679753
MISS,DORIS41559,60294686-Boris Road-Doris Town,UK,F,71+,Family,Adventure,00:09:30,22/02/2000,user_4485694
MISS,DORIS37524,90924371-Boris Road-Doris Town,UK,F,31-40,Family,Western,05:04:33,25/02/2000,user_3317940
MRS,DORIS106567,86743910-Boris Road-Doris Town,UK,F,51-70,Myself,Drama,17:41:45,21/02/2000,user_1121345
MRS,DORIS8745,59403238-Boris Road-Doris Town,UK,F,31-40,Other,Western,22:05:39,27/02/2000,user_2280501
MISS,DORIS68363,11595450-Boris Road-Doris Town,OuterMongolia,F,51-70,Other,Sci-Fi,23:19:14,24/02/2000,user_3056771
MR,BORIS80064,62420071-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,14:28:25,27/02/2000,user_2236626
MR,BORIS21802,48456738-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,00:05:45,16/02/2000,user_2371770
MRS,DORIS102450,33550515-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,20:32:29,24/02/2000,user_1870943
MRS,DORIS104632,85057955-Boris Road-Doris Town,USA,F,51-70,Friends,Horror,22:13:04,25/02/2000,user_2507506
MR,BORIS97655,10066351-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,10:30:49,20/02/2000,user_1788203
MRS,DORIS50321,63672748-Boris Road-Doris Town,USA,F,51-70,Friends,Horror,20:46:24,22/02/2000,user_1410605
MISS,DORIS104828,96736628-Boris Road-Doris Town,UK,F,71+,Myself,Adventure,20:23:46,20/02/2000,user_1363252
MR,BORIS112869,29271412-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,20:11:10,24/02/2000,user_3729063
MR,BORIS150644,75801368-Boris Road-Doris Town,UK,M,31-40,Myself,Sci-Fi,11:47:41,27/02/2000,user_4332080
MR,BORIS48485,67461294-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,00:32:45,22/02/2000,user_1124568
MRS,DORIS76103,6538105-Boris Road-Doris Town,OuterMongolia,F,31-40,Friends,Children,09:12:10,25/02/2000,user_2357816
MR,BORIS133242,45548850-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,07:12:16,23/02/2000,user_1575778
MR,BORIS14997,57273416-Boris Road-Doris Town,UK,M,31-40,Family,Drama,10:44:17,24/02/2000,user_1578810
MR,BORIS137021,34646815-Boris Road-Doris Town,USA,M,31-40,Myself,Comedy,01:18:25,19/02/2000,user_3731189
MR,BORIS110053,609932-Boris Road-Doris Town,UK,M,21-30,Myself,Musical,19:18:17,21/02/2000,user_597462
MRS,DORIS68220,89477401-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,18:42:00,16/02/2000,user_256645
MISS,DORIS36250,32919840-Boris Road-Doris Town,USA,F,31-40,Family,Children,04:51:29,18/02/2000,user_1590460
MR,BORIS135205,83539487-Boris Road-Doris Town,UK,M,71+,Family,Drama,07:46:06,25/02/2000,user_1190048
MR,BORIS75573,5250828-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,20:58:17,20/02/2000,user_2217021
MR,BORIS118166,24393342-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,21:01:47,18/02/2000,user_4723959
MR,BORIS84144,39015908-Boris Road-Doris Town,USA,M,71+,Myself,Children,20:43:37,23/02/2000,user_3081335
MISS,DORIS84718,9987030-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,06:25:09,18/02/2000,user_159229
MRS,DORIS77490,14586590-Boris Road-Doris Town,USA,F,51-70,Myself,Comedy,18:05:12,24/02/2000,user_1802448
MR,BORIS45182,93209469-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,07:51:45,18/02/2000,user_4997978
MR,BORIS29589,76919945-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,18:52:23,17/02/2000,user_3802805
MISS,DORIS76687,83268724-Boris Road-Doris Town,USA,F,51-70,Friends,Adventure,08:34:14,27/02/2000,user_4117734
MR,BORIS153572,93940837-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,02:19:16,22/02/2000,user_1069877
MR,BORIS63548,97285264-Boris Road-Doris Town,OuterMongolia,M,51-70,Friends,Western,22:21:08,16/02/2000,user_3125425
MR,BORIS111154,21562616-Boris Road-Doris Town,OuterMongolia,M,71+,Friends,Children,22:45:46,23/02/2000,user_2815027
MR,BORIS45843,7590977-Boris Road-Doris Town,OuterMongolia,M,31-40,Myself,Western,06:22:27,23/02/2000,user_4818437
MR,BORIS12383,82511892-Boris Road-Doris Town,UK,M,21-30,Family,Western,20:26:27,22/02/2000,user_501993
MRS,DORIS65706,47936024-Boris Road-Doris Town,UK,F,31-40,Family,Children,20:54:52,15/02/2000,user_3899726
MR,BORIS7186,88204204-Boris Road-Doris Town,OuterMongolia,M,51-70,Family,Sci-Fi,09:30:39,21/02/2000,user_4185223
MISS,DORIS21569,18121486-Boris Road-Doris Town,USA,F,21-30,Myself,Western,19:11:29,25/02/2000,user_3183199
MR,BORIS27141,18074714-Boris Road-Doris Town,UK,M,31-40,Friends,Drama,20:51:17,21/02/2000,user_4526703
MRS,DORIS119428,32721072-Boris Road-Doris Town,UK,F,31-40,Family,Children,04:48:50,25/02/2000,user_1979828
MISS,DORIS5271,11515080-Boris Road-Doris Town,OuterMongolia,F,51-70,Other,Musical,06:57:30,21/02/2000,user_1572443
MRS,DORIS127805,67622671-Boris Road-Doris Town,UK,F,51-70,Myself,Drama,20:31:31,20/02/2000,user_2614860
MISS,DORIS57301,56043221-Boris Road-Doris Town,USA,F,51-70,Friends,Children,12:10:54,17/02/2000,user_1646617
MRS,DORIS103369,73824896-Boris Road-Doris Town,UK,F,31-40,Family,Children,05:02:19,27/02/2000,user_1895017
MRS,DORIS110834,33733438-Boris Road-Doris Town,UK,F,31-40,Family,Children,01:30:51,21/02/2000,user_3279691
MISS,DORIS93249,91709821-Boris Road-Doris Town,UK,F,31-40,Other,Comedy,02:28:55,18/02/2000,user_2275441
MRS,DORIS12385,10292661-Boris Road-Doris Town,UK,F,71+,Myself,Children,01:17:18,23/02/2000,user_1083691
MR,BORIS135357,93456529-Boris Road-Doris Town,USA,M,51-70,Family,Drama,11:46:44,23/02/2000,user_1734098
MR,BORIS114129,95840978-Boris Road-Doris Town,USA,M,21-30,Friends,Horror,15:21:32,21/02/2000,user_2087066
MRS,DORIS78520,69304796-Boris Road-Doris Town,USA,F,51-70,Friends,Musical,23:09:51,20/02/2000,user_2522456
MR,BORIS42513,91018114-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,12:20:34,22/02/2000,user_13057
MISS,DORIS21008,37392681-Boris Road-Doris Town,USA,F,51-70,Friends,Musical,10:02:51,23/02/2000,user_3038129
MISS,DORIS100814,85588384-Boris Road-Doris Town,UK,F,71+,Myself,Western,16:45:05,25/02/2000,user_3519526
MISS,DORIS55656,88554498-Boris Road-Doris Town,OuterMongolia,F,21-30,Other,Adventure,16:29:10,23/02/2000,user_4458641
MRS,DORIS34910,41471030-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,22:17:49,19/02/2000,user_4126166
MRS,DORIS69592,35749478-Boris Road-Doris Town,UK,F,71+,Friends,Horror,00:26:04,20/02/2000,user_3787299
MR,BORIS150333,47378869-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,06:56:36,27/02/2000,user_2222015
MISS,DORIS144291,97098989-Boris Road-Doris Town,UK,F,21-30,Other,Musical,20:04:24,17/02/2000,user_3264544
MRS,DORIS46067,65400155-Boris Road-Doris Town,UK,F,31-40,Family,Children,15:25:16,18/02/2000,user_2495909
MR,BORIS11287,40554851-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,07:41:56,19/02/2000,user_4308492
MISS,DORIS14220,75737472-Boris Road-Doris Town,OuterMongolia,F,21-30,Friends,Adventure,07:36:15,24/02/2000,user_91384
MR,BORIS70855,17657877-Boris Road-Doris Town,USA,M,21-30,Other,Horror,12:08:02,22/02/2000,user_51931
MR,BORIS144413,64040364-Boris Road-Doris Town,UK,M,31-40,Family,Comedy,03:56:01,18/02/2000,user_1413547
MR,BORIS33730,87938852-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,01:48:41,24/02/2000,user_1495542
MR,BORIS31942,64370153-Boris Road-Doris Town,OuterMongolia,M,51-70,Other,Drama,09:58:37,24/02/2000,user_4992758
MISS,DORIS117530,53357302-Boris Road-Doris Town,UK,F,51-70,Myself,Drama,06:38:20,22/02/2000,user_3028311
MISS,DORIS72399,30642529-Boris Road-Doris Town,UK,F,31-40,Family,Children,07:27:28,19/02/2000,user_1123557
MR,BORIS132720,3263143-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,20:18:01,26/02/2000,user_2822053
MR,BORIS46272,16446500-Boris Road-Doris Town,UK,M,31-40,Family,Children,00:11:23,27/02/2000,user_1680286
MR,BORIS133527,68241752-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,18:58:25,25/02/2000,user_3842428
MR,BORIS66501,21606412-Boris Road-Doris Town,OuterMongolia,M,31-40,Myself,Children,15:53:56,18/02/2000,user_2619837
MR,BORIS9742,32021250-Boris Road-Doris Town,UK,M,31-40,Family,Children,16:04:00,27/02/2000,user_3850570
MRS,DORIS33177,65692853-Boris Road-Doris Town,UK,F,31-40,Family,Children,18:16:19,26/02/2000,user_1016060
MR,BORIS14678,72706497-Boris Road-Doris Town,USA,M,21-30,Family,Drama,03:16:03,23/02/2000,user_132225
MR,BORIS127996,81074208-Boris Road-Doris Town,OuterMongolia,M,31-40,Myself,Comedy,12:29:30,24/02/2000,user_18288
MRS,DORIS9550,61356452-Boris Road-Doris Town,UK,F,51-70,Myself,Drama,16:02:48,27/02/2000,user_2128927
MRS,DORIS65468,31239516-Boris Road-Doris Town,UK,F,31-40,Family,Children,15:58:14,22/02/2000,user_1763683
MRS,DORIS54048,19319682-Boris Road-Doris Town,UK,F,31-40,Family,Children,23:10:28,26/02/2000,user_3084558
MR,BORIS90332,21711001-Boris Road-Doris Town,OuterMongolia,M,51-70,Friends,Horror,13:22:10,22/02/2000,user_1856905
MR,BORIS60002,50678311-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,17:04:05,17/02/2000,user_3507120
MR,BORIS89343,55711744-Boris Road-Doris Town,USA,M,21-30,Myself,Horror,19:58:30,25/02/2000,user_1231452
MR,BORIS65773,99455112-Boris Road-Doris Town,OuterMongolia,M,71+,Family,Drama,11:40:47,18/02/2000,user_1869549
MR,BORIS67618,64833978-Boris Road-Doris Town,UK,M,71+,Myself,Horror,07:09:00,18/02/2000,user_794302
MRS,DORIS143658,56215570-Boris Road-Doris Town,USA,F,21-30,Family,Comedy,07:27:30,19/02/2000,user_4951422
MR,BORIS108478,75362237-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,01:15:35,23/02/2000,user_4029794
MRS,DORIS119941,59953513-Boris Road-Doris Town,USA,F,51-70,Friends,Horror,12:55:37,23/02/2000,user_2570430
MRS,DORIS59255,81846519-Boris Road-Doris Town,UK,F,51-70,Myself,Drama,01:18:11,23/02/2000,user_1315435
MISS,DORIS37459,88879312-Boris Road-Doris Town,USA,F,71+,Family,Children,06:32:35,21/02/2000,user_3946128
MR,BORIS106183,86697787-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,04:38:37,17/02/2000,user_3125867
MISS,DORIS5250,19519699-Boris Road-Doris Town,USA,F,51-70,Friends,Horror,21:06:37,24/02/2000,user_1967723
MR,BORIS127309,1530228-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,03:08:35,22/02/2000,user_4825150
MRS,DORIS51418,74385019-Boris Road-Doris Town,USA,F,51-70,Myself,Adventure,03:22:01,21/02/2000,user_3556842
MR,BORIS149042,56738044-Boris Road-Doris Town,UK,M,71+,Family,Musical,14:27:48,22/02/2000,user_1873332
MISS,DORIS56025,26970098-Boris Road-Doris Town,USA,F,71+,Myself,Musical,05:23:38,21/02/2000,user_3303256
MR,BORIS137024,30122128-Boris Road-Doris Town,UK,M,51-70,Other,Western,23:07:49,22/02/2000,user_3230803
MISS,DORIS75189,99996439-Boris Road-Doris Town,USA,F,51-70,Friends,Horror,06:13:25,15/02/2000,user_1350814
MISS,DORIS68566,1977915-Boris Road-Doris Town,UK,F,51-70,Myself,Drama,03:52:49,25/02/2000,user_1873875
MRS,DORIS57890,87805635-Boris Road-Doris Town,UK,F,31-40,Family,Children,14:02:41,18/02/2000,user_4542644
MR,BORIS98820,66733237-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,17:25:35,23/02/2000,user_4182912
MISS,DORIS46583,92142916-Boris Road-Doris Town,UK,F,21-30,Family,Children,13:56:39,18/02/2000,user_2484338
MR,BORIS46234,1768766-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,03:26:19,27/02/2000,user_2670685
MR,BORIS61098,65293901-Boris Road-Doris Town,USA,M,51-70,Other,Children,21:23:24,26/02/2000,user_1437129
MISS,DORIS113379,74176458-Boris Road-Doris Town,OuterMongolia,F,31-40,Myself,Children,00:36:32,27/02/2000,user_3328111
MISS,DORIS80893,2075173-Boris Road-Doris Town,UK,F,21-30,Myself,Drama,18:54:16,18/02/2000,user_4163472
MR,BORIS3862,81507640-Boris Road-Doris Town,USA,M,31-40,Friends,Sci-Fi,06:19:37,27/02/2000,user_2021280
MR,BORIS138885,5479048-Boris Road-Doris Town,UK,M,51-70,Other,Horror,05:11:22,23/02/2000,user_1597516
MR,BORIS8245,70575520-Boris Road-Doris Town,USA,M,31-40,Myself,Musical,22:59:21,22/02/2000,user_2710475
MR,BORIS94989,27015916-Boris Road-Doris Town,USA,M,51-70,Myself,Musical,09:11:12,21/02/2000,user_1945247
MR,BORIS47728,95151282-Boris Road-Doris Town,USA,M,51-70,Family,Western,00:14:22,25/02/2000,user_654628
MRS,DORIS122224,70590151-Boris Road-Doris Town,UK,F,31-40,Family,Children,11:49:11,22/02/2000,user_868855
MR,BORIS89030,677661-Boris Road-Doris Town,OuterMongolia,M,71+,Myself,Sci-Fi,08:19:33,19/02/2000,user_3385274
MR,BORIS142534,35337737-Boris Road-Doris Town,USA,M,71+,Myself,Sci-Fi,00:09:18,25/02/2000,user_528491
MISS,DORIS6060,5250573-Boris Road-Doris Town,UK,F,31-40,Other,Drama,08:56:08,25/02/2000,user_4582968
MISS,DORIS91767,19010781-Boris Road-Doris Town,UK,F,51-70,Myself,Drama,17:13:14,27/02/2000,user_3478126
MR,BORIS29143,7441433-Boris Road-Doris Town,USA,M,71+,Other,Western,05:23:57,21/02/2000,user_1147505
MR,BORIS21468,23798270-Boris Road-Doris Town,UK,M,51-70,Family,Musical,14:18:00,25/02/2000,user_280628
MR,BORIS98752,95690243-Boris Road-Doris Town,UK,M,71+,Friends,Musical,02:27:11,22/02/2000,user_4007936
MR,BORIS80102,73825896-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,05:29:34,26/02/2000,user_126027
MISS,DORIS143270,55610547-Boris Road-Doris Town,USA,F,31-40,Family,Horror,02:52:18,21/02/2000,user_2586669
MISS,DORIS125676,59926016-Boris Road-Doris Town,UK,F,71+,Myself,Children,01:31:04,27/02/2000,user_1220678
MISS,DORIS7220,73794062-Boris Road-Doris Town,OuterMongolia,F,51-70,Friends,Adventure,15:23:28,19/02/2000,user_1020975
MRS,DORIS26,88726557-Boris Road-Doris Town,USA,F,51-70,Friends,Horror,06:44:21,21/02/2000,user_1860925
MR,BORIS53903,14752579-Boris Road-Doris Town,UK,M,31-40,Family,Children,13:37:06,24/02/2000,user_4334412
MRS,DORIS10173,3440600-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,23:45:21,25/02/2000,user_751121
MR,BORIS118676,66341833-Boris Road-Doris Town,USA,M,21-30,Friends,Horror,14:13:52,24/02/2000,user_3147417
MISS,DORIS7172,55923781-Boris Road-Doris Town,USA,F,31-40,Myself,Drama,08:38:49,27/02/2000,user_3034515
MRS,DORIS63954,3154018-Boris Road-Doris Town,UK,F,31-40,Family,Children,10:39:26,21/02/2000,user_4394936
MISS,DORIS52329,22467269-Boris Road-Doris Town,USA,F,31-40,Myself,Children,08:08:21,21/02/2000,user_695341
MISS,DORIS65359,52480296-Boris Road-Doris Town,USA,F,51-70,Myself,Adventure,00:02:39,19/02/2000,user_997101
MRS,DORIS6180,93236510-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,12:32:14,23/02/2000,user_2612362
MR,BORIS34083,72604507-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,14:57:13,24/02/2000,user_846733
MR,BORIS60317,72090924-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,01:07:52,19/02/2000,user_2658412
MISS,DORIS96058,73870395-Boris Road-Doris Town,OuterMongolia,F,21-30,Family,Horror,08:53:26,20/02/2000,user_3286561
MR,BORIS23249,15480467-Boris Road-Doris Town,UK,M,21-30,Friends,Musical,11:27:21,24/02/2000,user_607946
MISS,DORIS106867,81134238-Boris Road-Doris Town,UK,F,31-40,Family,Comedy,06:37:39,26/02/2000,user_335871
MISS,DORIS140083,99145022-Boris Road-Doris Town,USA,F,21-30,Myself,Musical,21:31:26,24/02/2000,user_2387377
MR,BORIS139133,33937645-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,11:05:03,27/02/2000,user_629079
MR,BORIS48748,85758507-Boris Road-Doris Town,USA,M,31-40,Other,Musical,06:13:49,21/02/2000,user_287537
MR,BORIS59798,10747922-Boris Road-Doris Town,OuterMongolia,M,51-70,Myself,Horror,01:09:19,20/02/2000,user_390121
MISS,DORIS65428,59543822-Boris Road-Doris Town,OuterMongolia,F,71+,Other,Adventure,08:32:50,19/02/2000,user_3815570
MISS,DORIS87054,30729225-Boris Road-Doris Town,UK,F,71+,Myself,Sci-Fi,21:47:26,19/02/2000,user_2028046
MR,BORIS31618,99171286-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,21:35:41,15/02/2000,user_3487722
MRS,DORIS50937,58291987-Boris Road-Doris Town,UK,F,51-70,Myself,Drama,09:26:59,18/02/2000,user_4462693
MRS,DORIS104573,63693247-Boris Road-Doris Town,OuterMongolia,F,71+,Family,Western,02:21:36,27/02/2000,user_46785
MRS,DORIS153823,85545836-Boris Road-Doris Town,UK,F,31-40,Family,Children,15:45:59,23/02/2000,user_3571923
MISS,DORIS118580,51010296-Boris Road-Doris Town,UK,F,21-30,Family,Drama,17:48:51,17/02/2000,user_4356751
MISS,DORIS79424,46242496-Boris Road-Doris Town,UK,F,31-40,Friends,Western,03:29:39,22/02/2000,user_3293066
MISS,DORIS83805,29099640-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,14:01:00,23/02/2000,user_3909747
MR,BORIS44559,21519268-Boris Road-Doris Town,UK,M,51-70,Myself,Drama,00:24:18,24/02/2000,user_3845264
MR,BORIS10467,84235017-Boris Road-Doris Town,USA,M,51-70,Friends,Horror,07:18:44,18/02/2000,user_768749
MRS,DORIS25756,52945925-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,18:44:38,20/02/2000,user_1666808
MR,BORIS82796,60031978-Boris Road-Doris Town,USA,M,71+,Family,Drama,12:09:09,16/02/2000,user_2228283
MR,BORIS131895,90030341-Boris Road-Doris Town,USA,M,71+,Other,Children,09:53:31,18/02/2000,user_440176
MRS,DORIS86869,61697744-Boris Road-Doris Town,UK,F,31-40,Family,Children,22:18:02,25/02/2000,user_4356580
MR,BORIS118657,35059190-Boris Road-Doris Town,USA,M,71+,Other,Musical,02:50:22,23/02/2000,user_3184840
MR,BORIS20085,53193970-Boris Road-Doris Town,OuterMongolia,M,51-70,Other,Comedy,17:42:09,19/02/2000,user_4022759
MR,BORIS114563,7428349-Boris Road-Doris Town,UK,M,31-40,Family,Children,21:22:34,14/02/2000,user_1004670
MR,BORIS99620,55930588-Boris Road-Doris Town,UK,M,71+,Family,Comedy,15:46:42,20/02/2000,user_2554459
MR,BORIS12095,80899116-Boris Road-Doris Town,USA,M,71+,Other,Horror,23:43:43,22/02/2000,user_3140015
MRS,DORIS81610,18964174-Boris Road-Doris Town,USA,F,51-70,Myself,Western,15:54:01,26/02/2000,user_159451
MISS,DORIS33533,53505805-Boris Road-Doris Town,UK,F,71+,Other,Children,00:12:01,20/02/2000,user_1178713
MISS,DORIS50225,21968111-Boris Road-Doris Town,USA,F,21-30,Other,Musical,11:17:01,21/02/2000,user_2270762
MRS,DORIS22899,83741980-Boris Road-Doris Town,UK,F,21-30,Friends,Drama,13:42:41,18/02/2000,user_1119495
MR,BORIS34118,37072644-Boris Road-Doris Town,UK,M,21-30,Family,Sci-Fi,21:28:41,23/02/2000,user_2793366
MR,BORIS68652,3013423-Boris Road-Doris Town,OuterMongolia,M,71+,Myself,Western,04:03:09,18/02/2000,user_3452487
MR,BORIS51404,57673631-Boris Road-Doris Town,UK,M,31-40,Friends,Musical,19:21:41,22/02/2000,user_4315461
MR,BORIS90521,69498482-Boris Road-Doris Town,USA,M,21-30,Myself,Adventure,01:50:45,27/02/2000,user_4115898
MR,BORIS84731,20977758-Boris Road-Doris Town,USA,M,21-30,Friends,Drama,19:31:00,23/02/2000,user_267115
MRS,DORIS108058,55315783-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,09:07:47,24/02/2000,user_1602342
MRS,DORIS119921,86043189-Boris Road-Doris Town,USA,F,21-30,Myself,Adventure,19:59:07,16/02/2000,user_614562
MR,BORIS95463,85239686-Boris Road-Doris Town,UK,M,31-40,Family,Comedy,06:10:30,26/02/2000,user_3397618
MISS,DORIS67286,32785532-Boris Road-Doris Town,USA,F,21-30,Family,Adventure,14:44:45,24/02/2000,user_268371
MR,BORIS61213,23134238-Boris Road-Doris Town,OuterMongolia,M,21-30,Myself,Musical,07:05:27,21/02/2000,user_3452139
MR,BORIS45772,86325037-Boris Road-Doris Town,OuterMongolia,M,21-30,Family,Sci-Fi,12:14:04,18/02/2000,user_894258
